smiles,Egc
[*]CCCCCCOC(=O)NCCSCCCCSCCNC(=O)O[*],5.4298
[*]C(=O)CCCCCCCCC(=O)N1CCN([*])CC1,5.5924
[*]c1ccc([*])c(C(=O)c2ccc(F)cc2)c1,4.2742
[*]Oc1ccc2nc3oc4cc5oc6c7c(cn6ccc5on4cnc3c12)nc1c([*])ccccc17,1.4158
[*]Oc1ccc(OC(=O)Oc2ccc(OC([*])=O)cc2)cc1Cl,5.1691
[*]CCC1CC(=O)N([*])C1=O,6.0041
[*]OC(C)COC(=O)CCCCCC([*])=O,6.6845
[*]CCCCNC(=O)CCCCCCC(=O)N[*],6.0697
[*]NNC(=S)c1ccc(C([*])=S)cc1,3.4154
[*]CCCOC(=O)CCCCCCCCC(=O)O[*],6.8385
[*]C(=O)c1ccc(C(=O)N(C)c2ccc(Cl)c(N([*])C)c2)cc1,3.3332
[*]Nc1ccc(NC(=O)c2ccc(C(=O)c3ccc(C([*])=O)c(C(=O)O)c3)cc2C(=O)O)cc1,3.0554
[*]CCCCCCCCCCCCCCOC(=O)CC=CCC(=O)O[*],6.1489
[*]CNC(=O)CC(=O)N[*],6.3692
[*]CCCCCCCCOC(=O)CC=CCC(=O)O[*],6.197
[*]CC([*])c1ccc2c(c1)OCO2,4.4057
[*]Oc1ccc(NC(=O)c2ccc(-c3ccc(C(=O)Nc4ccc(Oc5ccc(C6(c7ccc([*])cc7)CC7CCC6C7)cc5)cc4)cc3)cc2)cc1,3.0949
[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],5.0751
[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O,3.3361
[*]c1ccc2c(c1)[Si](C)(C)c1cc([*])ccc1N2C,3.6899
[*]OC(=O)CCCCCCCCCCC([*])=O,6.499
[*]CCc1c(C)c(C)c([*])c(C)c1C,4.9544
[*]CC([*])C(=O)NC,5.4371
[*]CCCCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O[*])cc1,5.664
[*]CC(CO[*])(CS(=O)(=O)CCCC)CS(=O)(=O)CCCC,5.4465
[*]Nc1c(Cl)cc([*])cc1Cl,4.3983
[*]Oc7ccc(C6(c3ccc(OC(=O)c2ccc(c1ccc(C([*])=O)cc1)cc2)cc3)c4ccccc4c5ccccc56)cc7,3.4473
[*]N=CC(C)=CC=CC=C(C)C=Nc1nc(-c2csc([*])n2)cs1,1.6324
[*]Oc1ccc(C2(c3ccc(OC(=O)OC4C(C)(C)C(OC([*])=O)C4(C)C)cc3)CC3CCC2C3)cc1,4.7221
[*]CC1CCC(COC(=O)c2ccc(NC(=O)O[*])cc2)CC1,4.5441
[*]NC(COC(C)=O)C([*])=O,5.9781
[*]CCOC(=O)c1ccc2ccc(C(=O)O[*])cc2c1,3.9507
[*]CC1CCC(COC(=O)C2CCC(C(=O)O[*])CC2)CC1,6.6637
[*]OC(CCc1ccccc1)CC([*])=O,5.4818
[*]c1cccc(-c2nnc(-c3cccc(-c4nnc([*])o4)n3)o2)c1,3.6938
[*]c1ccc2c(c1)c1cc([*])ccc1n2C(=O)OCC,3.932
[*]c1ccc([*])n1C(=O)OCC,2.3493
[*]c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4([*])OC(=O)c5ccccc54)cc3)c2)cc1,3.9147
[*]C(=O)NC1CCCC([*])O1,6.2047
[*]CC([*])SCC,4.9086
[*]Nc1ccc(Cc2ccc(NC(=O)c3ccc(P(=O)(c4ccccc4)c4ccc(C([*])=O)cc4)cc3)cc2)cc1,3.0916
[*]c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C([*])(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc1O)C2=O,2.7003
[*]c1nc(Cl)nc(N([*])c2ccccc2)n1,4.3194
[*]c1cc(-c2ccc(F)cc2)c([*])s1,2.6765
[*]CC(C)(C)C1CC=C([*])CC1,5.4516
[*]CC(C)(C)COC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,5.1704
[*]CCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,3.8389
[*]CCCCc1nc(-c2ccc(-c3csc([*])n3)cc2)cs1,3.7312
[*]c1ccc(C2C(C(=O)OC)C([*])C2C(=O)OC)cc1,4.8882
[*]CCCCOCO[*],6.4832
[*]OC(=O)Oc1cccc(OC(=O)OC2CC3CC([*])CC(C2)O3)c1,5.8268
[*]c1ccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,2.6364
[*]CCCCCCCOC(=O)CCCCCCCCC(=O)O[*],6.8159
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],2.3302
[*]CCN(CCOC(=O)C=Cc1ccc(C=CC(=O)O[*])cc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,2.3089
[*]c1ccc(C(C)(C)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.5724
[*]C=CCCC[*],4.6373
[*]CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N[*],5.9072
[*]c1ccc(-c2ccc([*])nc2)cn1,3.5855
[*]=CC2CC(C=[*])C3CN(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC23,4.3204
[*]C=C([*])c1cccc(C#C)n1,0.835
[*]Nc1cccc2c(NC(=O)c3cccc(C([*])=O)c3)cccc12,3.1462
[*]CC(=S)C(C=C1)=CC=C1N[*],2.6292
[*]CCc1cccc([*])c1,5.4567
[*]c1ccc(C(c2ccccc2)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,2.907
[*]Oc1ccc(N=Cc2ccc(N(c3ccccc3)c3ccc(C=Nc4ccc([*])cc4)cc3)cc2)cc1,2.7442
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],2.8936
[*]CCCCCCN(CC)C(=O)CCCCCCCCCCC(=O)N([*])CC,5.6468
[*]CC(C)(CCCC)C(=O)N[*],6.0622
[*]Nc1cccc(NC(=O)c2ccc(NC(=O)c3ccc([Si](C)(C)c4ccc(C(=O)Nc5ccc(C([*])=O)cc5)cc4)cc3)cc2)c1,3.5185
[*]c1ccc2c([*])c(C)[nH]c2c1,4.0225
[*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2-c2ccccc2)cc1,2.1739
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],2.9816
[*]CCOCCOC(=O)C=CC(=O)O[*],4.6987
[*]CC([*])C#N,7.7741
[*]CC([*])OC(=O)OCC(F)(F)F,7.5359
[*]C(=O)NCCCCCCCCNC(=O)c1ccc([*])nc1,4.7836
[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],3.3296
[*]Oc1ccc2c(c1)C(=O)N(Oc1ccc(C(N3C(=O)CC([*])C3=O)(C(F)(F)F)C(F)(F)F)cc1)C2=O,3.5205
[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],4.586
[*]c1cc(COCCCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)c([*])s1,2.6611
[*]NC(C)=CC([*])=O,3.6072
[*]C(C#N)=C(c1ccccc1)c1ccc([*])cc1,4.0078
[*]NC(C)(C)CC([*])=O,5.5484
[*]OC(C)COC(=O)CCCCC([*])=O,6.7094
[*]CCCCCC(=O)NCc1ccc(CNC(=O)CCCCO[*])cc1,5.142
[*]CC(COC)O[*],5.5702
[*]CCc1cc(Cl)c([*])c(Cl)c1,5.1758
[*]c1ccc(Cc2ccc(N3C(=O)C(=O)N([*])C3=O)cc2)cc1,3.5238
[*]CCCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],5.6744
[*]CC(O[*])C(C)(C)C,5.5394
[*]CCCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,4.9708
