smiles,Ei
[*]CC([*])C,6.185
[*]CC([*])F,7.6332
[*]CC([*])(F)F,8.1531
[*]C(F)C([*])(F)F,8.5986
[*]CCC(F)(F)C([*])(F)F,9.0178
[*]CO[*],7.5826
[*]CCO[*],7.0344
[*]CC(O[*])C(F)(F)F,7.9431
[*]CCCO[*],6.904
[*]Oc1ccc(Cc2ccc([*])cc2)cc1,6.1428
[*]CCCCCOCO[*],6.9158
[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],7.1012
[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,5.6689
[*]CCCCCS[*],5.7733
[*]Sc1ccc([*])cc1,6.1739
[*]CCOC(=O)CCCCC(=O)O[*],7.8277
[*]CCOC(=O)CCCCCCC(=O)O[*],7.7636
[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,7.1539
[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,7.6583
[*]CC(=O)O[*],8.2018
[*]CCCCCC(=O)O[*],7.458
[*]CCC(=O)O[*],7.7853
[*]Oc1ccc(CC([*])=O)cc1,6.3961
[*]Cc1ccc(C(=O)O[*])cc1,7.179
[*]CCC(=O)N[*],6.8452
[*]CCCCCCC(=O)N[*],6.5849
[*]CC(=O)N[*],7.2525
[*]Nc1cccc(C([*])=O)c1,6.1179
[*]Cc1ccc(C(=O)N[*])cc1,6.8713
[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,5.1674
[*]OC(=O)c1ccc(C([*])=O)cc1,7.8184
[*]CCCCCOC(=O)O[*],7.4318
[*]Oc1ccc(OC([*])=O)cc1,6.5915
[*]CCCN[*],5.8246
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,6.383
[*]c1ccc([*])cc1,5.0935
[*]CCc1ccc(-c2ccc([*])cc2)cc1,5.6867
[*]OC1C(CO)OC([*])C(O)C1O,6.8689
[*]Cc1ccc(CO[*])cc1,6.5689
[*]CCOCCOC(=O)O[*],7.5966
[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,8.3643
[*]c1ccc([*])s1,4.5257
[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,6.2671
[*]Nc1ccc([*])cc1,4.9916
[*]c1cccc([*])n1,6.0452
[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],3.5577
[*]C(S1)=CC=C1C(S2)=CC=C2[*],4.5257
[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],5.6338
[*]CC(C=C1)=CC=C1C[*],6.2134
[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],7.4162
[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],6.2005
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],5.4248
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],4.7769
[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],5.7571
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],6.0778
[*]C(S1)=CC=C1C(=S)OC(=S)[*],6.3892
[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],5.0541
[*]C(S1)=CC=C1OC(=S)O[*],6.1007
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],4.7302
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],5.6406
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],5.1637
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],5.6674
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],5.1678
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],5.7103
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],4.9968
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],5.9399
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],5.1012
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],5.1853
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],5.6338
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],5.5837
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],5.9851
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],6.2119
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],5.8629
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],5.6051
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],5.7685
[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],6.5598
[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],5.9034
[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],5.9615
[*]C(C=C1)=CC=C1OC(=S)O[*],6.6287
[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],5.1385
[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],5.7652
[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],5.2494
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],5.2326
[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],5.6896
[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],5.4992
[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],5.797
[*]CC(S1)=CC=C1CC(=S)[*],5.8858
[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],6.3555
[*]CC(S1)=CC=C1C(=O)C(=S)[*],6.4325
[*]CC(S1)=CC=C1C(=O)O[*],6.8862
[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],5.9541
[*]CC(S1)=CC=C1C(=S)O[*],6.4155
[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],5.2507
[*]CC(S1)=CC=C1NC(=S)[*],5.7769
[*]CC(S1)=CC=C1NO[*],5.1816
[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],5.8606
[*]CC(S1)=CC=C1OC(=S)[*],6.155
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],5.1679
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],5.3092
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],5.8475
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],5.3793
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],5.528
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],5.6651
[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],5.5737
[*]CC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],6.2368
[*]CC(C=C1)=CC=C1CC(=S)[*],5.9697
[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],6.578
[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],6.6326
[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],6.2998
[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],5.8109
[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],5.6687
[*]CC(C=C1)=CC=C1C(=S)O[*],6.2737
[*]CC(C=C1)=CC=C1NC(S2)=CC=C2[*],5.4067
[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],5.3392
[*]CC(C=C1)=CC=C1NC(=S)[*],5.8355
[*]CC(C=C1)=CC=C1NO[*],5.6115
[*]CC(C=C1)=CC=C1OC(S2)=CC=C2[*],5.631
[*]CC(C=C1)=CC=C1OC(=S)[*],6.2998
[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],5.1709
[*]CCC(S1)=CC=C1C(=S)[*],5.9475
[*]CCC(S1)=CC=C1O[*],5.5608
[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],5.4079
[*]CCC(C=C1)=CC=C1C(=S)[*],5.8549
[*]CCC(C=C1)=CC=C1O[*],5.6727
[*]CCCC(S1)=CC=C1[*],5.6976
[*]CCCC(C=C1)=CC=C1[*],5.9933
[*]CCCC(=O)[*],6.6298
[*]CCCC(=S)[*],5.7881
[*]CCC(=O)C(S1)=CC=C1[*],6.6564
[*]CCC(=O)C(C=C1)=CC=C1[*],6.8635
[*]CCC(=O)C(=S)[*],6.4199
[*]CCC(=S)O[*],6.2041
[*]CCNC(S1)=CC=C1[*],4.6632
