Oligomer1,Oligomer2,Frac1,Density
OCCO,OC(C)CO,0.1,1.0470000000000002
OCCO,OC(C)CO,0.3,1.061
OCCO,OC(C)CO,0.5,1.0750000000000002
OCCO,OC(C)CO,0.7,1.089
OCCO,OC(C)CO,0.9,1.1030000000000002
OCCO,OC(C)COC(C)CO,0.1,1.0489069159484212
OCCO,OC(C)COC(C)CO,0.3,1.062483156848772
OCCO,OC(C)COC(C)CO,0.5,1.0760593977491228
OCCO,OC(C)COC(C)CO,0.7,1.0896356386494739
OCCO,OC(C)COC(C)CO,0.9,1.1032118795498247
OCCO,OC(C)COC(C)COC(C)CO,0.1,1.0496638704772434
OCCO,OC(C)COC(C)COC(C)CO,0.3,1.063071899260078
OCCO,OC(C)COC(C)COC(C)CO,0.5,1.0764799280429131
OCCO,OC(C)COC(C)COC(C)CO,0.7,1.0898879568257478
OCCO,OC(C)COC(C)COC(C)CO,0.9,1.1032959856085827
OCCO,OC(C)COC(C)COC(C)COC(C)CO,0.1,1.050070097870972
OCCO,OC(C)COC(C)COC(C)COC(C)CO,0.3,1.0633878538996449
OCCO,OC(C)COC(C)COC(C)COC(C)CO,0.5,1.0767056099283179
OCCO,OC(C)COC(C)COC(C)COC(C)CO,0.7,1.090023365956991
OCCO,OC(C)COC(C)COC(C)COC(C)CO,0.9,1.1033411219856637
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0503235072827761
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0635849501088257
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0768463929348755
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0901078357609255
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.103369278586975
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0504966792401713
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.063719639409022
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.076942599577873
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.090165559746724
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1033885199155746
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0506225137358727
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0638175106834564
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0770125076310404
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0902075045786241
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034025015262081
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0507180867766217
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0638918452707058
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0770656037647899
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.090239362258874
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.103413120752958
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0507931428472836
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0639502222145538
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0771073015818242
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0902643809490946
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.103421460316365
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0508536482144086
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.06399728194454
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0771409156746716
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.090284549404803
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034281831349344
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0509034602686598
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.064036024653402
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0771685890381444
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0903011534228866
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.103433717807629
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.050945183643897
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0640684761674755
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.077191768691054
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0903150612146324
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034383537382109
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0509806405952964
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0640960537963415
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.077211466997387
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.090326880198432
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034422933994774
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0510111442433006
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0641197788559003
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0772284134685002
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0903370480811003
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034456826937
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0510376647784203
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0641404059387713
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0772431470991224
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0903458882594734
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034486294198245
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.051060934548176
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0641585046485813
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0772560747489868
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.090353644849392
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034512149497975
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.0510815167323961
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.3,1.0641745130140858
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.5,1.0772675092957757
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.7,1.0903605055774654
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9,1.1034535018591551
OCCO,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.1,1.051099851522297
