repeatingunits,smiles,MolWt,Density
1,OCCO,62.036779432,1.11
2,OCCOCCO,106.06299418,1.12595825410166
3,OCCOCCOCCO,150.089208928,1.1326891506112975
4,OCCOCCOCCOCCO,194.115423676,1.1364009633373033
5,OCCOCCOCCOCCOCCO,238.141638424,1.1387528637548832
6,OCCOCCOCCOCCOCCOCCO,282.16785317200004,1.1403764976326491
7,OCCOCCOCCOCCOCCOCCOCCO,326.19406791999995,1.1415647767386634
8,OCCOCCOCCOCCOCCOCCOCCOCCO,370.2202826679999,1.142472102271433
9,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,414.2464974159999,1.1431875819189348
10,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,458.2727121639999,1.1437662441879592
11,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,502.29892691199984,1.1442439085839946
12,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,546.3251416599999,1.1446448945586989
13,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,590.3513564079999,1.1449862937957966
14,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,634.3775711559999,1.1452804696293901
15,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,678.403785904,1.1455365863732065
16,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,722.430000652,1.1457615811414257
17,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,766.4562154,1.1459608016894154
18,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,810.482430148,1.1461384369266023
19,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,854.5086448960001,1.1462978146840581
20,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,898.5348596440001,1.1464416121555172
21,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,942.561074392,1.1465720074981898
22,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,986.5872891400002,1.1466907909327075
23,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1030.6135038880002,1.1467994474274326
24,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1074.6397186360002,1.146899219099518
25,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1118.6659333840005,1.1469911529096652
