Component ID,Component name,CAS number,smiles
CIS-2-01,CIS-2-BUTENE,590-18-1,C\C=C/C
TRANS-01,TRANS-2-BUTENE,624-64-6,C\C=C\C
2-BUT-01,2-BUTENE,107-01-7,C\C=C\C
TRANS-02,TRANS-2-PENTENE,646-04-8,CC\C=C\C
CIS-2-02,CIS-2-PENTENE,627-20-3,CC\C=C/C
2-PEN-01,"2-PENTENE,-(CIS+TRANS)",109-68-2,CC\C=C/C
CIS-2-03,CIS-2-HEXENE,7688-21-3,CCC\C=C/C
TRANS-03,TRANS-2-HEXENE,4050-45-7,CCC\C=C\C
CIS-3-01,CIS-3-HEXENE,7642-09-3,CC\C=C/CC
TRANS-04,TRANS-3-HEXENE,13269-52-8,CC\C=C\CC
3-HEX-01,3-HEXENE,592-47-2,CC\C=C\CC
2-HEX-01,"2-HEXENE,-(CIS+TRANS)",592-43-8,CCC\C=C/C
TRANS-05,TRANS-3-HEPTENE,14686-14-7,CCC\C=C\CC
CIS-3-02,CIS-3-HEPTENE,7642-10-6,CCC\C=C/CC
CIS-2-04,CIS-2-HEPTENE,6443-92-1,CCCC\C=C/C
TRANS-06,TRANS-2-HEPTENE,14686-13-6,CCCC\C=C\C
2-HEP-01,2-HEPTENE,592-77-8,CCCC\C=C\C
3-HEP-01,"3-HEPTENE,-(CIS+TRANS)",592-78-9,CCC\C=C\CC
TRANS-07,TRANS-2-OCTENE,13389-42-9,CCCCC\C=C\C
CIS-2-05,CIS-2-OCTENE,7642-04-8,CCCCC\C=C\C
CIS-4-01,CIS-4-OCTENE,7642-15-1,CCC\C=C/CCC
TRANS-08,TRANS-3-OCTENE,14919-01-8,CCCC\C=C\CC
TRANS-09,TRANS-4-OCTENE,14850-23-8,CCC/C=C/CCC
CIS-3-03,CIS-3-OCTENE,14850-22-7,CCCC\C=C/CC
2-OCT-01,2-OCTENE,111-67-1,CCCCC\C=C/C
3-OCT-01,3-OCTENE,592-98-3,CCCC\C=C\CC
4-OCT-01,4-OCTENE,592-99-4,CCC/C=C/CCC
TRANS-10,TRANS-2-NONENE,6434-78-2,CCCCCC\C=C\C
CIS-2-06,CIS-2-NONENE,6434-77-1,CCCCCC\C=C/C
CIS-4-02,CIS-4-NONENE,10405-84-2,CCCC\C=C/CCC
CIS-3-04,CIS-3-NONENE,20237-46-1,CCCCC\C=C/CC
TRANS-11,TRANS-3-NONENE,20063-92-7,CCCCC\C=C/CC
TRANS-12,TRANS-4-NONENE,10405-85-3,CCCC/C=C/CCC
3-NON-01,3-NONENE,20063-77-8,CCCCCC=CCC
4-NON-01,4-NONENE,2198-23-4,CCCC/C=C/CCC
2-NON-01,2-NONENE,2216-38-8,CCCCCC\C=C\C
CIS-2-07,CIS-2-DECENE,20348-51-0,CCCCCCC\C=C/C
TRANS-13,TRANS-2-DECENE,20063-97-2,CCCCCCC\C=C/C
CIS-3-05,CIS-3-DECENE,19398-86-8,CCCCCC\C=C/CC
5-DEC-01,5-DECENE,19689-19-1,CCCC\C=C\CCCC
3-DEC-01,3-DECENE,19398-37-9,CCCCCCC=CCC
2-DEC-01,2-DECENE,6816-17-7,CCCCCCCC=CC
CIS-5-01,CIS-5-DECENE,7433-78-5,CCCC\C=C\CCCC
TRANS-14,TRANS-3-DECENE,19150-21-1,CCCCCC\C=C\CC
TRANS-15,TRANS-4-DECENE,19398-89-1,CCCCC\C=C\CCC
TRANS-16,TRANS-5-DECENE,7433-56-9,CCCC\C=C\CCCC
CIS-4-03,CIS-4-DECENE,19398-88-0,CCCCC\C=C/CCC
4-DEC-01,4-DECENE,19689-18-0,CCCCCC=CCCC
CIS-3-06,CIS-3-UNDECENE,821-97-6,CCCCCCC\C=C/CC
CIS-4-04,CIS-4-UNDECENE,821-98-7,CCCCCC\C=C/CCC
5-UND-01,5-UNDECENE,4941-53-1,CCCCCC=CCCCC
CIS-5-02,CIS-5-UNDECENE,764-96-5,CCCCC\C=C/CCCC
TRANS-17,TRANS-3-UNDECENE,1002-68-2,CCCCCCC/C=C/CC
TRANS-18,TRANS-5-UNDECENE,764-97-6,CCCCC\C=C\CCCC
4-UND-01,4-UNDECENE,20810-21-3,CCCCCCC=CCCC
(Z)-U-01,(Z)-UNDEC-2-ENE,821-96-5,CCCCCCCC\C=C/C
(E)-U-01,(E)-UNDEC-4-ENE,693-62-9,CCCCCC\C=C\CCC
2-UND-01,2-UNDECENE,2244-02-2,CCCCCCCC\C=C\C
(E)-U-02,(E)-UNDEC-2-ENE,693-61-8,CCCCCCCC\C=C\C
CIS-2-08,CIS-2-DODECENE,7206-26-0,CCCCCCCCC\C=C/C
TRANS-19,TRANS-2-DODECENE,7206-13-5,CCCCCCCCC/C=C/C
(E)-D-01,(E)-DODEC-5-ENE,7206-16-8,CCCCCC/C=C/CCCC
CIS-6-01,CIS-6-DODECENE,7206-29-3,CCCCC\C=C/CCCCC
TRANS-20,TRANS-4-DODECENE,7206-15-7,CCCCCCC/C=C/CCC
4-DOD-01,4-DODECENE,2030-84-4,CCCCCCCC=CCCC
2-DOD-01,2-DODECENE,1652-96-6,CCCCCCCCCC=CC
CIS-4-05,CIS-4-DODECENE,7206-27-1,CCCCCCC\C=C/CCC
CIS-3-07,CIS-3-DODECENE,7239-23-8,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CBr)c6ccccc6
6-DOD-01,6-DODECENE,29493-00-3,CCCCC/C=C/CCCCC
3-DOD-01,3-DODECENE,2030-83-3,CCCCCCCC\C=C\CC
TRANS-21,TRANS-6-DODECENE,7206-17-9,CCCCC\C=C\CCCCC
6-TRI-01,6-TRIDECENE,24949-38-0,CCCCCC\C=C/CCCCC
7-TET-01,7-TETRADECENE,10374-74-0,CCCCCC\C=C\CCCCCC
2-TET-01,2-TETRADECENE,1652-97-7,CCCCCCCCCCCC=CC
TRANS-22,TRANS-2-PENTADECENE,74392-36-2,CCCCCCCCCCCC/C=C/C
8-PEN-01,8-PENTADECENE,15430-98-5,CCCCCCCC=CCCCCCC
2-PEN-02,2-PENTADECENE,26741-28-6,CCCCCCCCCCCCC=CC
2-HEX-02,2-HEXADECENE,26741-29-7,CCCCCCCCCCCCCC=CC
6-HEX-01,6-HEXADECENE,18899-21-3,CCCCCCCCCC=CCCCCC
8-HEP-01,8-HEPTADECENE,999914-33-9,CCCCCCCCC=CCCCCCCC
TRANS-23,TRANS-4-OCTADECENE,7206-20-4,CCCCCCCCCCCCC/C=C/CCC
(E)-9-01,(E)-9-OCTADECENE,7206-25-9,CCCCCCCC/C=C/CCCCCCCC
TRANS-24,TRANS-2-OCTADECENE,7206-18-0,CCCCCCCCCCCCCCC/C=C/C
CIS-8-01,CIS-8-OCTADECENE,7206-36-2,CCCCCCCCC\C=C/CCCCCCC
CIS-7-01,CIS-7-OCTADECENE,7206-35-1,CCCCCCCCCC\C=C/CCCCCC
CIS-6-02,CIS-6-OCTADECENE,7206-34-0,CCCCCCCCCCC\C=C/CCCCC
CIS-5-03,CIS-5-OCTADECENE,7206-33-9,CCCCCCCCCCCC\C=C/CCCC
(Z)-2-01,(Z)-2-OCTADECENE,7206-30-6,CCCCCCCCCCCCCCC\C=C/C
CIS-4-06,CIS-4-OCTADECENE,7206-32-8,CCCCCCCCCCCCC\C=C/CCC
9-OCT-01,"9-OCTADECENE,-(Z)-",1779-13-1,CCCCCCCC\C=C/CCCCCCCC
TRANS-25,TRANS-6-OCTADECENE,7206-22-6,CCCCCCCCCCC/C=C/CCCCC
TRANS-26,TRANS-7-OCTADECENE,7206-23-7,CCCCCCCCCC/C=C/CCCCCC
TRANS-27,TRANS-2-EICOSENE,42448-85-1,CCCCCCCCCCCCCCCCC/C=C/C
(E)-I-01,(E)-ICOS-2-ENE,121909-30-6,CCCCCCCCCCCCCCCCC/C=C/C
(E)-9-02,(E)-9-TRICOSENE,35857-62-6,CCCCCCCCCCCCC\C=C\CCCCCCCC
MUSCA-01,MUSCALORE,27519-02-4,CCCCCCCCCCCCC\C=C/CCCCCCCC
