Component ID,Component name,CAS number,smiles
ISOBU-01,ISOBUTYLENE,115-11-7,CC(C)=C
3-MET-01,3-METHYL-1-BUTENE,563-45-1,CC(C)C=C
2-MET-01,2-METHYL-2-BUTENE,513-35-9,CC=C(C)C
2-MET-02,2-METHYL-1-BUTENE,563-46-2,CCC(C)=C
3-MET-02,3-METHYL-CIS-2-PENTENE,922-62-3,CC\C(C)=C/C
2-MET-03,2-METHYL-1-PENTENE,763-29-1,CCCC(C)=C
2-MET-04,2-METHYL-2-PENTENE,625-27-4,CCC=C(C)C
3-MET-03,3-METHYL-1-PENTENE,760-20-3,CCC(C)C=C
3-MET-04,3-METHYL-TRANS-2-PENTENE,616-12-6,CC\C(C)=C\C
4-MET-01,4-METHYL-TRANS-2-PENTENE,674-76-0,C/C=C/C(C)C
4-MET-02,4-METHYL-1-PENTENE,691-37-2,CC(C)CC=C
4-MET-03,4-METHYL-CIS-2-PENTENE,691-38-3,C\C=C/C(C)C
4-MET-04,4-METHYL-TRANS-2-PENTENE,674-76-0,C/C=C/C(C)C
3-MET-05,3-METHYL-2-PENTENE,922-61-2,CC\C(C)=C\C
(+)-(-01,(+)-(S)-3-METHYL-1-PENTENE,5026-95-9,CC[C@H](C)C=C
2-MET-05,2-METHYL-1-HEXENE,6094-02-6,CCCCC(C)=C
3-MET-06,3-METHYL-1-HEXENE,3404-61-3,CCCC(C)C=C
5-MET-01,5-METHYL-1-HEXENE,3524-73-0,CC(C)CCC=C
4-MET-05,4-METHYL-1-HEXENE,3769-23-1,CCC(C)CC=C
CIS-4-01,CIS-4-METHYL-2-HEXENE,3683-19-0,CCC(C)\C=C/C
TRANS-01,TRANS-3-METHYL-3-HEXENE,3899-36-3,CC/C=C(C)/CC
TRANS-02,TRANS-4-METHYL-2-HEXENE,3683-22-5,CCC(C)\C=C\C
TRANS-03,TRANS-2-METHYL-3-HEXENE,692-24-0,CC/C=C/C(C)C
CIS-5-01,CIS-5-METHYL-2-HEXENE,13151-17-2,C\C=C/CC(C)C
CIS-3-01,CIS-3-METHYL-3-HEXENE,4914-89-0,CC\C=C(C)/CC
CIS-3-02,CIS-3-METHYL-2-HEXENE,10574-36-4,CCC\C(C)=C/C
3-MET-07,3-METHYL-2-HEXENE,17618-77-8,CCC\C(C)=C\C
CIS-2-01,CIS-2-METHYL-3-HEXENE,15840-60-5,CC\C=C/C(C)C
2-MET-06,2-METHYL-2-HEXENE,2738-19-4,CCCC=C(C)C
(E)-3-01,(E)-3-METHYL-2-HEXENE,20710-38-7,CCC\C(C)=C\C
(E)-2-01,(E)-2-METHYL-4-HEXENE,7385-82-2,C/C=C/CC(C)C
6-MET-01,6-METHYL-1-HEPTENE,5026-76-6,CC(C)CCCC=C
2:4:4-01,"2,4,4-TRIMETHYLPENTENE",25167-70-8,CC(=C)CC(C)(C)C
4-MET-06,4-METHYL-1-HEPTENE,13151-05-8,CCC[C@@H](C)CC=C
2-MET-07,2-METHYL-1-HEPTENE,15870-10-7,CCCCCC(C)=C
3-HEP-02,"3-HEPTENE,-3-METHYL-",7300-03-0,CCC/C=C(C)/CC
3-HEP-03,"3-HEPTENE,-6-METHYL-,-(E)-",66225-20-5,CC/C=C/CC(C)C
3-MET-08,3-METHYL-1-HEPTENE,4810-09-7,CCCCC(C)C=C
3-MET-09,3-METHYL-2-HEPTENE,3404-75-9,CCCC\C(C)=C\C
4-MET-07,4-METHYL-2-HEPTENE,3404-56-6,CCCC(C)\C=C\C
3-HEP-05,"3-HEPTENE,-2-METHYL-,-(E)-",692-96-6,CCC\C=C\C(C)C
6-MET-02,6-METHYL-3-HEPTENE,3404-57-7,CCC=CCC(C)C
2-MET-08,2-METHYL-2-HEPTENE,627-97-4,CCCCC=C(C)C
CIS-4-02,CIS-4-ETHYL-2-HEXENE,54616-49-8,CCC(CC)\C=C/C
2-MET-09,2-METHYL-5-HEPTENE,73548-72-8,CC=CCCC(C)C
C8H16-01,C8H16-N39,4485-16-9,CCC\C(C)=C/CC
1-HEP-01,"1-HEPTENE,-5-METHYL-",13151-04-7,CCC(C)CCC=C
7-MET-01,7-METHYL-1-OCTENE,13151-06-9,CC(C)CCCCC=C
2-MET-10,2-METHYL-1-OCTENE,4588-18-5,CCCCCCC(C)=C
4-MET-08,4-METHYL-2-OCTENE,116836-14-7,CCCCC(C)C=CC
4-MET-09,4-METHYL-4-OCTENE,38304-63-1,CCCC=C(C)CCC
3-MET-10,3-METHYL-2-OCTENE,999918-06-8,CCCCCC(C)=CC
2-OCT-01,"2-OCTENE,-2-METHYL-",16993-86-5,CCCCCC=C(C)C
2-MET-11,2-METHYL-4-OCTENE,64501-77-5,CCCC=CCC(C)C
7-MET-02,7-METHYL-2-OCTENE,86668-32-8,CC=CCCCC(C)C
7-MET-03,7-METHYL-3-OCTENE,86668-33-9,CC/C=C/CCC(C)C
2-MET-12,2-METHYL-3-OCTENE,20826-35-1,CCCCC=CC(C)C
8-MET-01,8-METHYL-1-NONENE,26741-24-2,CC(C)CCCCCC=C
2-MET-13,2-METHYL-1-NONENE,2980-71-4,CCCCCCCC(C)=C
5-MET-02,5-METHYL-4-NONENE,15918-07-7,CCCC/C(C)=C/CCC
2-MET-14,2-METHYL-3-NONENE,53966-53-3,CCCCCC=CC(C)C
2-MET-15,2-METHYL-2-NONENE,2129-95-5,CCCCCCC=C(C)C
5-MET-03,5-METHYL-4-DECENE,999918-55-7,CCCCCC(C)=CCCC
4-MET-10,4-METHYL-1-DECENE,13151-29-6,CCCCCCC(C)CC=C
2-MET-16,2-METHYL-4-DECENE,999914-10-2,CCCCCC=CCC(C)C
(R)-4-01,(R)-4-METHYL-1-DECENE,849464-76-2,CCCCCC[C@@H](C)CC=C
6-MET-03,6-METHYL-5-UNDECENE,1042-76-8,CCCCCC(C)=CCCCC
1-UND-02,"1-UNDECENE,-2-METHYL-",18516-37-5,CCCCCCCCCC(C)=C
2-MET-17,2-METHYL-2-TRIDECENE,62060-10-0,CCCCCCCCCCC=C(C)C
