Component ID,Component name,CAS number
ACETY-01,ACETYLENE,74-86-2
METHY-01,METHYL-ACETYLENE,74-99-7
BIACE-01,BIACETYLENE,460-12-8
VINYL-01,VINYLACETYLENE,689-97-4
2-BUT-01,2-BUTYNE,503-17-3
1-BUT-01,1-BUTYNE,107-00-6
METHY-02,METHYLDIACETYLENE,4911-55-1
1-PEN-01,1-PENTENE-3-YNE,646-05-9
1-PEN-02,1-PENTENE-4-YNE,871-28-3
2-MET-01,2-METHYL-1-BUTENE-3-YNE,78-80-8
3-PEN-01,"3-PENTEN-1-YNE,-(Z)-",1574-40-9
3-PEN-02,3-PENTEN-1-YNE,2206-23-7
3-PEN-03,"3-PENTEN-1-YNE,-(E)-",2004-69-5
1-PEN-03,1-PENTYNE,627-19-0
2-PEN-01,2-PENTYNE,627-21-4
3-MET-01,3-METHYL-1-BUTYNE,598-23-2
TRIAC-01,TRIACETYLENE,3161-99-7
1:4-H-01,"1,4-HEXADIYNE",10420-91-4
1:3-H-01,"1,3-HEXADIEN-5-YNE,-(E)-",5222-77-5
1:3-H-02,"1,3-HEXADIEN-5-YNE",10420-90-3
DIMET-01,DIMETHYLDIACETYLENE,2809-69-0
DIVIN-01,DIVINYLACETYLENE,821-08-9
ETHYL-01,ETHYLDIACETYLENE,4447-21-6
DIPRO-01,DIPROPARGYL,628-16-0
3-PEN-04,"3-PENTEN-1-YNE,-3-METHYL-",1574-33-0
1-HEX-01,1-HEXEN-3-YNE,13721-54-5
2-HEX-01,2-HEXEN-4-YNE,14092-20-7
HEX-5-01,HEX-5-EN-1-YNE,14548-31-3
3-HEX-01,3-HEXEN-1-YNE,2806-56-6
1-HEX-02,1-HEXYNE,693-02-7
TERT--01,TERT-BUTYLACETYLENE,917-92-0
3-HEX-02,3-HEXYNE,928-49-4
2-HEX-02,2-HEXYNE,764-35-2
2-PEN-02,"2-PENTYNE,-4-METHYL-",21020-27-9
1-PEN-04,"1-PENTYNE,-4-METHYL-",7154-75-8
1-PEN-05,"1-PENTYNE,-3-METHYL-",922-59-8
HEPT--01,"HEPT-1-EN-4,6-DIYNE",999916-21-1
3:3-D-01,"3,3-DIMETHYLPENTA-1,4-DIYNE",62496-43-9
2-MET-02,"2-METHYL-1,5-HEXADIEN-3-YNE",820-54-2
1:6-H-01,"1,6-HEPTADIYNE",2396-63-6
1:5-H-01,"1,5-HEPTADIYNE",999919-35-6
3-MET-02,3-METHYL-3-HEXEN-1-YNE,62839-54-7
3-MET-03,3-METHYL-2-HEXEN-4-YNE,89854-59-1
2-HEX-03,"2-HEXEN-4-YNE,-3-METHYL-,-(E)-",41998-56-5
1-HEP-01,1-HEPTEN-3-YNE,2384-73-8
1-HEP-02,1-HEPTYNE,628-71-7
1-ETH-01,1-ETHYL-2-ISOPROPYLACETYLENE,36566-80-0
