Component ID,Component name,CAS number
2-MET-01,2-METHYL-PENTANE,107-83-5
ISOBU-01,ISOBUTANE,75-28-5
2-MET-02,2-METHYL-BUTANE,78-78-4
ISO-P-01,2-METHYL-BUTANE,78-78-4
2-MET-03,2-METHYL-PENTANE,107-83-5
3-MET-01,3-METHYL-PENTANE,96-14-0
2-MET-04,2-METHYLHEXANE,591-76-4
3-MET-02,3-METHYLHEXANE,589-34-4
(+)-3-01,(+)-3-METHYLHEXANE,6131-24-4
4-MET-01,4-METHYLHEPTANE,589-53-7
2-MET-05,2-METHYLHEPTANE,592-27-8
3-MET-03,3-METHYLHEPTANE,589-81-1
(S)-3-01,(S)-3-METHYLHEPTANE,6131-25-5
4-MET-02,4-METHYLOCTANE,2216-34-4
3-MET-04,3-METHYLOCTANE,2216-33-3
2-MET-06,2-METHYLOCTANE,3221-61-2
L-5-M-01,L-5-METHYLOCTANE,999905-24-7
L(+)--01,L(+)-3-METHYLOCTANE,999905-21-4
(R)-4-01,(R)-4-METHYLOCTANE,116836-52-3
2-MET-07,2-METHYLNONANE,871-83-0
4-MET-03,4-METHYLNONANE,17301-94-9
5-MET-01,5-METHYLNONANE,15869-85-9
3-MET-05,3-METHYLNONANE,5911-04-6
(S)-3-02,(S)-3-METHYLNONANE,53213-47-1
(-)-3-01,(-)-3-METHYLNONANE,361382-37-8
3-MET-06,3-METHYLDECANE,13151-34-3
2-MET-08,2-METHYLDECANE,6975-98-0
5-MET-02,5-METHYLDECANE,13151-35-4
L(+)--02,L(+)-3-METHYLDECANE,999905-35-0
4-MET-04,4-METHYLDECANE,2847-72-5
3-MET-07,3-METHYLUNDECANE,1002-43-3
2-MET-09,2-METHYLUNDECANE,7045-71-8
5-MET-03,5-METHYLUNDECANE,1632-70-8
4-MET-05,4-METHYLUNDECANE,2980-69-0
UNDEC-01,"UNDECANE,-6-METHYL-",17302-33-9
(S)-3-03,(S)-3-METHYLUNDECANE,55194-28-0
2-MET-10,2-METHYLDODECANE,1560-97-0
3-MET-08,3-METHYLDODECANE,17312-57-1
5-MET-04,5-METHYLDODECANE,17453-93-9
