Component ID,Component name,CAS number
METHA-01,METHANE,74-82-8
ETHAN-01,ETHANE,74-84-0
PROPA-01,PROPANE,74-98-6
N-BUT-01,N-BUTANE,106-97-8
N-PEN-01,N-PENTANE,109-66-0
ISO-P-01,2-METHYL-BUTANE,78-78-4
N-HEX-01,N-HEXANE,110-54-3
N-HEP-01,N-HEPTANE,142-82-5
N-OCT-01,N-OCTANE,111-65-9
N-NON-01,N-NONANE,111-84-2
N-DEC-01,N-DECANE,124-18-5
N-UND-01,N-UNDECANE,1120-21-4
N-DOD-01,N-DODECANE,112-40-3
N-TRI-01,N-TRIDECANE,629-50-5
N-TET-01,N-TETRADECANE,629-59-4
N-PEN-02,N-PENTADECANE,629-62-9
N-HEX-02,N-HEXADECANE,544-76-3
N-HEP-02,N-HEPTADECANE,629-78-7
N-OCT-02,N-OCTADECANE,593-45-3
N-NON-02,N-NONADECANE,629-92-5
N-EIC-01,N-EICOSANE,112-95-8
N-HEN-01,N-HENEICOSANE,629-94-7
N-DOC-01,N-DOCOSANE,629-97-0
N-TRI-02,N-TRICOSANE,638-67-5
N-TET-02,N-TETRACOSANE,646-31-1
N-PEN-03,N-PENTACOSANE,629-99-2
N-HEX-03,N-HEXACOSANE,630-01-3
N-HEP-03,N-HEPTACOSANE,593-49-7
N-OCT-03,N-OCTACOSANE,630-02-4
N-NON-03,N-NONACOSANE,630-03-5
N-TRI-03,N-TRIACONTANE,638-68-6
N-HEN-02,N-HENTRIACONTANE,630-04-6
N-DOT-01,N-DOTRIACONTANE,544-85-4
N-TRI-04,N-TRITRIACONTANE,630-05-7
N-TET-03,N-TETRATRIACONTANE,14167-59-0
N-PEN-04,N-PENTATRIACONTANE,630-07-9
N-HEX-04,N-HEXATRIACONTANE,630-06-8
N-HEP-04,N-HEPTATRIACONTANE,7194-84-5
OCTAT-01,OCTATRIACONTANE,7194-85-6
N-NON-04,N-NONATRIACONTANE,7194-86-7
N-TET-04,N-TETRACONTANE,4181-95-7
HENTE-01,HENTETRACONTANE,7194-87-8
DOTET-01,DOTETRACONTANE,7098-20-6
TRITE-01,TRITETRACONTANE,7098-21-7
N-TET-05,N-TETRATETRACONTANE,7098-22-8
PENTA-01,PENTATETRACONTANE,7098-23-9
HEXAT-01,HEXATETRACONTANE,7098-24-0
HEPTA-01,HEPTATETRACONTANE,7098-25-1
OCTAT-02,OCTATETRACONTANE,7098-26-2
NONAT-01,NONATETRACONTANE,7098-27-3
PENTA-02,PENTACONTANE,6596-40-3
HENPE-01,HENPENTACONTANE,7667-76-7
DOPEN-01,DOPENTACONTANE,7719-79-1
TETRA-01,TETRAPENTACONTANE,5856-66-6
HEXAP-01,HEXAPENTACONTANE,7719-82-6
HEPTA-02,HEPTAPENTACONTANE,5856-67-7
OCTAP-01,OCTAPENTACONTANE,7667-78-9
HEXAC-01,HEXACONTANE,7667-80-3
DOHEX-01,DOHEXACONTANE,7719-83-7
TETRA-02,TETRAHEXACONTANE,7719-87-1
HEXAH-01,HEXAHEXACONTANE,7719-89-3
HEPTA-03,HEPTAHEXACONTANE,7719-90-6
OCTAH-01,OCTAHEXACONTANE,7719-91-7
HEPTA-04,HEPTACONTANE,7719-93-9
DOHEP-01,DOHEPTACONTANE,7667-83-6
TETRA-03,TETRAHEPTACONTANE,7667-85-8
HEXAH-02,HEXAHEPTACONTANE,7667-87-0
DOOCT-01,DOOCTACONTANE,7719-95-1
TETRA-04,TETRANONACONTANE,1574-32-9
