smiles,temp,density
C#C,25,1.07095059
C#C,50,0.986811361
C#C,75,0.915053903
C#C,100,0.853107446
C#C,125,0.799072911
C#C,150,0.751515279
C#C,175,0.709329031
C#C,200,0.671648132
C#C,225,0.637784168
C#C,250,0.607182808
C#C,275,0.579392534
C#C,300,0.554041768
C#C,325,0.53082187
C#C,350,0.509474309
C#C,375,0.489780862
C#C,400,0.471556032
C#C,425,0.45464112
C#C,450,0.438899545
C#C,475,0.42421311
C#C,500,0.410479006
CC#C,25,1.6614654
CC#C,50,1.52847722
CC#C,75,1.41562456
CC#C,100,1.31857036
CC#C,125,1.23416057
CC#C,150,1.16004074
CC#C,175,1.0944144
CC#C,200,1.03588511
CC#C,225,0.983349761
CC#C,250,0.935924719
CC#C,275,0.89289332
CC#C,300,0.853667917
CC#C,325,0.817761887
CC#C,350,0.78476868
CC#C,375,0.754345899
CC#C,400,0.726203058
CC#C,425,0.700092056
CC#C,450,0.675799681
CC#C,475,0.653141663
CC#C,500,0.631957901
C#CC#C,25,687.344199
C#CC#C,50,13.4821705
C#CC#C,75,9.21252462
C#CC#C,100,7.77322277
C#CC#C,125,6.8778819
C#CC#C,150,5.81993295
C#CC#C,175,5.10590527
C#CC#C,200,3.86704867
C#CC#C,225,2.64683757
C#CC#C,250,2.51411397
C#CC#C,275,2.39448583
C#CC#C,300,2.28604685
C#CC#C,325,2.18725371
C#CC#C,350,2.09684166
C#CC#C,375,2.01376298
C#CC#C,400,1.93714141
C#CC#C,425,1.86623772
C#CC#C,450,1.80042349
C#CC#C,475,1.73916071
C#CC#C,500,1.68198585
C=CC#C,25,772.130295
C=CC#C,50,12.1061147
C=CC#C,75,9.0118662
C=CC#C,100,7.75518118
C=CC#C,125,6.91100373
C=CC#C,150,6.12967413
C=CC#C,175,5.20491215
C=CC#C,200,3.94254371
C=CC#C,225,2.67314627
C=CC#C,250,2.5389529
C=CC#C,275,2.41802388
C=CC#C,300,2.30842369
C=CC#C,325,2.20858649
C=CC#C,350,2.11722972
C=CC#C,375,2.03326748
C=CC#C,400,1.95585612
C=CC#C,425,1.88422776
C=CC#C,450,1.81774588
C=CC#C,475,1.75586569
C=CC#C,500,1.69811796
CC#CC,25,770.059927
CC#CC,50,73.8227316
CC#CC,75,11.1375411
CC#CC,100,8.3841564
CC#CC,125,7.13384807
CC#CC,150,6.14067524
CC#CC,175,5.03047485
CC#CC,200,3.55037907
CC#CC,225,2.70012903
CC#CC,250,2.5643467
CC#CC,275,2.44202293
CC#CC,300,2.33118673
CC#CC,325,2.23024518
CC#CC,350,2.13789462
CC#CC,375,2.05305641
CC#CC,400,1.97482933
CC#CC,425,1.90245382
CC#CC,450,1.83528464
CC#CC,475,1.77276978
CC#CC,500,1.71443391
CCC#C,25,755.810135
CCC#C,50,12.7605991
CCC#C,75,9.15209381
CCC#C,100,7.79601801
CCC#C,125,6.88940373
CCC#C,150,6.03097583
CCC#C,175,4.99787973
CCC#C,200,3.53824799
CCC#C,225,2.69786243
CCC#C,250,2.56245887
CCC#C,275,2.44043529
CCC#C,300,2.32984001
CCC#C,325,2.22909396
CCC#C,350,2.13690363
CCC#C,375,2.05219793
CCC#C,400,1.97408133
CCC#C,425,1.9017986
CCC#C,450,1.86792841
CCC#C,475,1.80442873
CCC#C,500,1.74515999
CC#CC#C,25,729.670967
CC#CC#C,50,711.242988
CC#CC#C,75,692.152097
CC#CC#C,100,11.3688309
CC#CC#C,125,7.48369254
CC#CC#C,150,5.29274979
CC#CC#C,175,3.21867729
CC#CC#C,200,3.03677031
CC#CC#C,225,0
CC#CC#C,250,540.449333
CC#CC#C,275,2.60436596
CC#CC#C,300,2.48570715
CC#CC#C,325,2.37770687
CC#CC#C,350,2.27894933
CC#CC#C,375,1.78197798
CC#CC#C,400,1.7145701
CC#CC#C,425,1.65214383
CC#CC#C,450,1.59415898
CC#CC#C,475,1.54015181
CC#CC#C,500,1.48972177
CC#CC=C,25,730.676094
CC#CC=C,50,709.98699
CC#CC=C,75,688.41412
CC#CC=C,100,7.22555275
CC#CC=C,125,2.99659771
CC#CC=C,150,2.80695345
CC#CC=C,175,2.64089463
CC#CC=C,200,2.49410888
CC#CC=C,225,2.36330907
CC#CC=C,250,2.24593781
CC#CC=C,275,2.13997052
CC#CC=C,300,2.0437804
CC#CC=C,325,1.95604315
CC#CC=C,350,1.87566843
CC#CC=C,375,1.80174934
CC#CC=C,400,1.73352472
CC#CC=C,425,1.67035057
CC#CC=C,450,1.61167796
CC#CC=C,475,1.55703584
CC#CC=C,500,1.50601757
C=CCC#C,25,724.328891
C=CCC#C,50,703.565932
C=CCC#C,75,14.5089757
C=CCC#C,100,5.73053952
C=CCC#C,125,2.99354278
C=CCC#C,150,2.80453824
C=CCC#C,175,2.63895506
C=CCC#C,200,2.49253021
C=CCC#C,225,2.36200904
C=CCC#C,250,2.24485618
C=CCC#C,275,2.13906236
C=CCC#C,300,2.04301163
C=CCC#C,325,1.95538761
C=CCC#C,350,1.87510571
C=CCC#C,375,1.80126336
C=CCC#C,400,1.7331027
C=CCC#C,425,1.66998224
C=CCC#C,450,1.61187889
C=CCC#C,475,1.5572087
C=CCC#C,500,1.50616667
CC(=C)C#C,25,728.56718
CC(=C)C#C,50,707.608346
CC(=C)C#C,75,10.5284998
CC(=C)C#C,100,6.1675698
CC(=C)C#C,125,3.61227089
CC(=C)C#C,150,2.80733601
CC(=C)C#C,175,2.64118229
CC(=C)C#C,200,2.49432649
CC(=C)C#C,225,2.36347417
CC(=C)C#C,250,2.24606299
CC(=C)C#C,275,2.14006505
CC(=C)C#C,300,2.04385115
CC(=C)C#C,325,1.95609533
CC(=C)C#C,350,1.87570599
CC(=C)C#C,375,1.80177532
CC(=C)C#C,400,1.73354151
CC(=C)C#C,425,1.67036003
CC(=C)C#C,450,1.61168155
CC(=C)C#C,475,1.55703474
CC(=C)C#C,500,1.50601272
C\C=C/C#C,25,721.959376
C\C=C/C#C,50,701.509583
C\C=C/C#C,75,17.7843013
C\C=C/C#C,100,6.71004614
C\C=C/C#C,125,3.69493548
C\C=C/C#C,150,2.80881996
C\C=C/C#C,175,2.64237576
C\C=C/C#C,200,2.49529951
C\C=C/C#C,225,2.36427691
C\C=C/C#C,250,2.24673218
C\C=C/C#C,275,2.14062808
C\C=C/C#C,300,2.0443288
C\C=C/C#C,325,1.95650357
C\C=C/C#C,350,1.87605726
C\C=C/C#C,375,1.80207944
C\C=C/C#C,400,1.73380629
C\C=C/C#C,425,1.67059174
C\C=C/C#C,450,1.6118853
C\C=C/C#C,475,1.55721469
C\C=C/C#C,500,1.50617229
C/C=C/C#C,25,741.885245
C/C=C/C#C,50,720.726338
C/C=C/C#C,75,21.6940815
C/C=C/C#C,100,6.85527539
C/C=C/C#C,125,3.7155954
C/C=C/C#C,150,2.80921255
C/C=C/C#C,175,2.6426911
C/C=C/C#C,200,2.49555627
C/C=C/C#C,225,2.36448847
C/C=C/C#C,250,2.24690831
C/C=C/C#C,275,2.14077608
C/C=C/C#C,300,2.04445418
C/C=C/C#C,325,1.95661058
C/C=C/C#C,350,1.87614921
C/C=C/C#C,375,1.80215893
C/C=C/C#C,400,1.73387539
C/C=C/C#C,425,1.67065213
C/C=C/C#C,450,1.61193831
C/C=C/C#C,475,1.55726143
C/C=C/C#C,500,1.50621368
C/C=C/C#C,25,742.636606
C/C=C/C#C,50,721.618539
C/C=C/C#C,75,127.4147
C/C=C/C#C,100,7.38308122
C/C=C/C#C,125,3.78260873
C/C=C/C#C,150,2.8104918
C/C=C/C#C,175,3.45553458
C/C=C/C#C,200,3.2584952
C/C=C/C#C,225,3.08378912
C/C=C/C#C,250,2.92765642
C/C=C/C#C,275,2.78716736
C/C=C/C#C,300,2.65999855
C/C=C/C#C,325,2.54427947
C/C=C/C#C,350,2.43848448
C/C=C/C#C,375,2.34135473
C/C=C/C#C,400,2.25184098
C/C=C/C#C,425,2.16906081
C/C=C/C#C,450,2.09226595
C/C=C/C#C,475,2.02081732
C/C=C/C#C,500,1.95416537
CCCC#C,25,700.299762
CCCC#C,50,683.15893
CCCC#C,75,18.6213213
CCCC#C,100,9.86558749
CCCC#C,125,7.26313922
CCCC#C,150,5.15949678
CCCC#C,175,3.47933487
CCCC#C,200,3.2815214
CCCC#C,225,3.10602827
