smiles,temp,density
CCCCCCCC(C)CCCCCC,25,769.843803
CCCCCCCC(C)CCCCCC,50,752.715189
CCCCCCCC(C)CCCCCC,75,735.161964
CCCCCCCC(C)CCCCCC,100,717.13346
CCCCCCCC(C)CCCCCC,125,698.56862
CCCCCCCC(C)CCCCCC,150,679.392785
CCCCCCCC(C)CCCCCC,175,659.513105
CCCCCCCC(C)CCCCCC,200,638.811751
CCCCCCCC(C)CCCCCC,225,617.135524
CCCCCCCC(C)CCCCCC,250,594.279197
CCCCCCCC(C)CCCCCC,275,4.96794431
CCCCCCCC(C)CCCCCC,300,4.72160498
CCCCCCCC(C)CCCCCC,325,4.50053631
CCCCCCCC(C)CCCCCC,350,4.30076656
CCCCCCCC(C)CCCCCC,375,4.11915944
CCCCCCCC(C)CCCCCC,400,3.95319702
CCCCCCCC(C)CCCCCC,425,3.80082875
CCCCCCCC(C)CCCCCC,450,3.66036389
CCCCCCCC(C)CCCCCC,475,3.53039313
CCCCCCCC(C)CCCCCC,500,3.40973033
CCCCCCCCCCCCC(C)C,25,797.374168
CCCCCCCCCCCCC(C)C,50,779.753829
CCCCCCCCCCCCC(C)C,75,761.717326
CCCCCCCCCCCCC(C)C,100,743.216392
CCCCCCCCCCCCC(C)C,125,724.193188
CCCCCCCCCCCCC(C)C,150,704.577447
CCCCCCCCCCCCC(C)C,175,684.282447
CCCCCCCCCCCCC(C)C,200,663.199135
CCCCCCCCCCCCC(C)C,225,641.187276
CCCCCCCCCCCCC(C)C,250,618.061555
CCCCCCCCCCCCC(C)C,275,4.97932821
CCCCCCCCCCCCC(C)C,300,4.73105955
CCCCCCCCCCCCC(C)C,325,4.50847354
CCCCCCCCCCCCC(C)C,350,4.30749261
CCCCCCCCCCCCC(C)C,375,4.12490622
CCCCCCCCCCCCC(C)C,400,3.95814308
CCCCCCCCCCCCC(C)C,425,3.80511356
CCCCCCCCCCCCC(C)C,450,3.66409779
CCCCCCCCCCCCC(C)C,475,3.53366437
CCCCCCCCCCCCC(C)C,500,3.41261021
CCCCCCCCCCC(C)CCC,25,785.725745
CCCCCCCCCCC(C)CCC,50,768.076655
CCCCCCCCCCC(C)CCC,75,749.992946
CCCCCCCCCCC(C)CCC,100,731.422636
CCCCCCCCCCC(C)CCC,125,712.303063
CCCCCCCCCCC(C)CCC,150,692.557586
CCCCCCCCCCC(C)CCC,175,672.090857
CCCCCCCCCCC(C)CCC,200,650.781825
CCCCCCCCCCC(C)CCC,225,628.473027
CCCCCCCCCCC(C)CCC,250,604.953387
CCCCCCCCCCC(C)CCC,275,4.96821719
CCCCCCCCCCC(C)CCC,300,4.72182693
CCCCCCCCCCC(C)CCC,325,4.50071856
CCCCCCCCCCC(C)CCC,350,4.3009174
CCCCCCCCCCC(C)CCC,375,4.11928513
CCCCCCCCCCC(C)CCC,400,3.95330236
CCCCCCCCCCC(C)CCC,425,3.80091747
CCCCCCCCCCC(C)CCC,450,3.66043893
CCCCCCCCCCC(C)CCC,475,3.53045681
CCCCCCCCCCC(C)CCC,500,3.40978453
CCCCCCCC(C)CCCCCCC,25,804.553699
CCCCCCCC(C)CCCCCCC,50,786.351744
CCCCCCCC(C)CCCCCCC,75,767.719203
CCCCCCCC(C)CCCCCCC,100,748.605363
CCCCCCCC(C)CCCCCCC,125,728.949299
CCCCCCCC(C)CCCCCCC,150,708.676783
CCCCCCCC(C)CCCCCCC,175,687.695895
CCCCCCCC(C)CCCCCCC,200,665.89058
CCCCCCCC(C)CCCCCCC,225,643.110872
CCCCCCCC(C)CCCCCCC,250,619.157405
CCCCCCCC(C)CCCCCCC,275,593.755546
CCCCCCCC(C)CCCCCCC,300,5.06335966
CCCCCCCC(C)CCCCCCC,325,4.82270536
CCCCCCCC(C)CCCCCCC,350,4.60578081
CCCCCCCC(C)CCCCCCC,375,4.40899112
CCCCCCCC(C)CCCCCCC,400,4.22947211
CCCCCCCC(C)CCCCCCC,425,4.06490646
CCCCCCCC(C)CCCCCCC,450,3.91339414
CCCCCCCC(C)CCCCCCC,475,3.77335904
CCCCCCCC(C)CCCCCCC,500,3.64348029
CCCCCCCCCCCC(C)CCC,25,750.001092
CCCCCCCCCCCC(C)CCC,50,734.23672
CCCCCCCCCCCC(C)CCC,75,718.08862
CCCCCCCCCCCC(C)CCC,100,661.015646
CCCCCCCCCCCC(C)CCC,125,643.9388
CCCCCCCCCCCC(C)CCC,150,626.215326
CCCCCCCCCCCC(C)CCC,175,607.738368
CCCCCCCCCCCC(C)CCC,200,588.369339
CCCCCCCCCCCC(C)CCC,225,17.6271515
CCCCCCCCCCCC(C)CCC,250,5.76445315
CCCCCCCCCCCC(C)CCC,275,4.41870622
CCCCCCCCCCCC(C)CCC,300,4.2064774
CCCCCCCCCCCC(C)CCC,325,4.01497487
CCCCCCCCCCCC(C)CCC,350,3.84113256
CCCCCCCCCCCC(C)CCC,375,3.68248844
CCCCCCCCCCCC(C)CCC,400,3.53703753
CCCCCCCCCCCC(C)CCC,425,3.40312701
CCCCCCCCCCCC(C)CCC,450,3.27937966
CCCCCCCCCCCC(C)CCC,475,3.16463692
CCCCCCCCCCCC(C)CCC,500,3.05791584
CCCCCCCCC(C)CCCCCC,25,726.345091
CCCCCCCCC(C)CCCCCC,50,710.041662
CCCCCCCCC(C)CCCCCC,75,693.292195
CCCCCCCCC(C)CCCCCC,100,676.04032
CCCCCCCCC(C)CCCCCC,125,658.2173
CCCCCCCCC(C)CCCCCC,150,639.73792
CCCCCCCCC(C)CCCCCC,175,620.494456
CCCCCCCCC(C)CCCCCC,200,600.347495
CCCCCCCCC(C)CCCCCC,225,17.0440703
CCCCCCCCC(C)CCCCCC,250,5.60276493
CCCCCCCCC(C)CCCCCC,275,4.42679045
CCCCCCCCC(C)CCCCCC,300,4.21318491
CCCCCCCCC(C)CCCCCC,325,4.02059179
CCCCCCCCC(C)CCCCCC,350,3.84587446
CCCCCCCCC(C)CCCCCC,375,3.68652036
CCCCCCCCC(C)CCCCCC,400,3.54048767
CCCCCCCCC(C)CCCCCC,425,3.40609619
CCCCCCCCC(C)CCCCCC,450,3.28194807
CCCCCCCCC(C)CCCCCC,475,3.16686897
CCCCCCCCC(C)CCCCCC,500,3.05986375
CCCCCCCCCCC(C)CCCC,25,716.360429
CCCCCCCCCCC(C)CCCC,50,700.23516
CCCCCCCCCCC(C)CCCC,75,683.659838
CCCCCCCCCCC(C)CCCC,100,666.576862
CCCCCCCCCCC(C)CCCC,125,648.915806
CCCCCCCCCCC(C)CCCC,150,630.58909
CCCCCCCCCCC(C)CCCC,175,611.485591
CCCCCCCCCCC(C)CCCC,200,591.460843
CCCCCCCCCCC(C)CCCC,225,16.2101785
CCCCCCCCCCC(C)CCCC,250,5.16842524
CCCCCCCCCCC(C)CCCC,275,4.42368249
CCCCCCCCCCC(C)CCCC,300,4.21058862
CCCCCCCCCCC(C)CCCC,325,4.01840201
CCCCCCCCCCC(C)CCCC,350,3.84401187
CCCCCCCCCCC(C)CCCC,375,3.68492415
CCCCCCCCCCC(C)CCCC,400,3.53911051
CCCCCCCCCCC(C)CCCC,425,3.40490082
