smiles,temp,density
CCC(C)\C=C/C,25,666.156584
CCC(C)\C=C/C,50,644.615243
CCC(C)\C=C/C,75,621.893306
CCC(C)\C=C/C,100,3.30957254
CCC(C)\C=C/C,125,3.0853593
CCC(C)\C=C/C,150,2.8909846
CCC(C)\C=C/C,175,2.7206186
CCC(C)\C=C/C,200,2.56990901
CCC(C)\C=C/C,225,2.43552837
CCC(C)\C=C/C,250,2.31488165
CCC(C)\C=C/C,275,2.20591036
CCC(C)\C=C/C,300,2.10695768
CCC(C)\C=C/C,325,2.016673
CCC(C)\C=C/C,350,1.93394292
CCC(C)\C=C/C,375,1.85784047
CCC(C)\C=C/C,400,1.78758693
CCC(C)\C=C/C,425,1.72252293
CCC(C)\C=C/C,450,1.66208605
CCC(C)\C=C/C,475,1.60579341
CCC(C)\C=C/C,500,1.55322791
CC/C=C(C)/CC,25,689.692611
CC/C=C(C)/CC,50,668.107535
CC/C=C(C)/CC,75,645.436998
CC/C=C(C)/CC,100,3.3162461
CC/C=C(C)/CC,125,3.09054408
CC/C=C(C)/CC,150,2.89508762
CC/C=C(C)/CC,175,2.72391658
CC/C=C(C)/CC,200,2.57259566
CC/C=C(C)/CC,225,2.43774272
CC/C=C(C)/CC,250,2.31672552
CC/C=C(C)/CC,275,2.20745981
CC/C=C(C)/CC,300,2.10827037
CC/C=C(C)/CC,325,2.0177933
CC/C=C(C)/CC,350,1.93490541
CC/C=C(C)/CC,375,1.85867239
CC/C=C(C)/CC,400,1.78830999
CC/C=C(C)/CC,425,1.72315457
CC/C=C(C)/CC,450,1.66264042
CC/C=C(C)/CC,475,1.60628208
CC/C=C(C)/CC,500,1.55366039
CCC(C)\C=C\C,25,666.247714
CCC(C)\C=C\C,50,644.827574
CCC(C)\C=C\C,75,622.246996
CCC(C)\C=C\C,100,3.31073532
CCC(C)\C=C\C,125,3.0862612
CCC(C)\C=C\C,150,2.89169699
CCC(C)\C=C\C,175,2.72119003
CCC(C)\C=C\C,200,2.57037348
CCC(C)\C=C\C,225,2.43591027
CCC(C)\C=C\C,250,2.31519886
CCC(C)\C=C\C,275,2.20617622
CCC(C)\C=C\C,300,2.10718229
CCC(C)\C=C\C,325,2.01686413
CCC(C)\C=C\C,350,1.93410664
CCC(C)\C=C\C,375,1.85798153
CCC(C)\C=C\C,400,1.78770914
CCC(C)\C=C\C,425,1.72262933
CCC(C)\C=C\C,450,1.6621791
CCC(C)\C=C\C,475,1.60587514
CCC(C)\C=C\C,500,1.55329997
CC/C=C/C(C)C,25,651.240556
CC/C=C/C(C)C,50,630.33005
CC/C=C/C(C)C,75,608.261505
CC/C=C/C(C)C,100,3.30927407
CC/C=C/C(C)C,125,3.08512696
CC/C=C/C(C)C,150,2.8908004
CC/C=C/C(C)C,175,2.72047028
CC/C=C/C(C)C,200,2.56978797
CC/C=C/C(C)C,225,2.43542843
CC/C=C/C(C)C,250,2.31479829
CC/C=C/C(C)C,275,2.20584019
CC/C=C/C(C)C,300,2.10689813
CC/C=C/C(C)C,325,2.01662208
CC/C=C/C(C)C,350,1.9338991
CC/C=C/C(C)C,375,1.85780252
CC/C=C/C(C)C,400,1.78755389
CC/C=C/C(C)C,425,1.72249401
CC/C=C/C(C)C,450,1.66206062
CC/C=C/C(C)C,475,1.60577095
CC/C=C/C(C)C,500,1.55320799
C\C=C/CC(C)C,25,668.691169
