smiles,temp,density
CCCC(CCC)CCC,25,729.930527
CCCC(CCC)CCC,50,710.889806
CCCC(CCC)CCC,75,691.16414
CCCC(CCC)CCC,100,670.643346
CCCC(CCC)CCC,125,649.185555
CCCC(CCC)CCC,150,626.603007
CCCC(CCC)CCC,175,4.02253048
CCCC(CCC)CCC,200,3.78861713
CCCC(CCC)CCC,225,3.5820298
CCCC(CCC)CCC,250,3.39799149
CCCC(CCC)CCC,275,3.23282461
CCCC(CCC)CCC,300,3.08364176
CCCC(CCC)CCC,325,2.94813776
CCCC(CCC)CCC,350,2.82444564
CCCC(CCC)CCC,375,2.71103423
CCCC(CCC)CCC,400,2.60663404
CCCC(CCC)CCC,425,2.51018206
CCCC(CCC)CCC,450,2.4207805
CCCC(CCC)CCC,475,2.33766518
CCCC(CCC)CCC,500,2.26018096
CCC(CC)C(C)(C)CC,25,727.032811
CCC(CC)C(C)(C)CC,50,708.739153
CCC(CC)C(C)(C)CC,75,689.793841
CCC(CC)C(C)(C)CC,100,670.094635
CCC(CC)C(C)(C)CC,125,649.510674
CCC(CC)C(C)(C)CC,150,627.870019
CCC(CC)C(C)(C)CC,175,4.01900416
CCC(CC)C(C)(C)CC,200,3.78582789
CCC(CC)C(C)(C)CC,225,3.57979523
CCC(CC)C(C)(C)CC,250,3.39618188
CCC(CC)C(C)(C)CC,275,3.2313456
CCC(CC)C(C)(C)CC,300,3.08242336
CCC(CC)C(C)(C)CC,325,2.94712721
CCC(CC)C(C)(C)CC,350,2.82360253
CCC(CC)C(C)(C)CC,375,2.71032725
CCC(CC)C(C)(C)CC,400,2.60603864
CCC(CC)C(C)(C)CC,425,2.50967877
CCC(CC)C(C)(C)CC,450,2.42035378
CCC(CC)C(C)(C)CC,475,2.33730246
CCC(CC)C(C)(C)CC,500,2.25987204
CCC(CC)C(C)C(C)C,25,730.725202
CCC(CC)C(C)C(C)C,50,712.178886
CCC(CC)C(C)C(C)C,75,692.976358
CCC(CC)C(C)C(C)C,100,673.014625
CCC(CC)C(C)C(C)C,125,652.161866
CCC(CC)C(C)C(C)C,150,630.24489
CCC(CC)C(C)C(C)C,175,4.02164412
CCC(CC)C(C)C(C)C,200,3.78793743
CCC(CC)C(C)C(C)C,225,3.58150373
CCC(CC)C(C)C(C)C,250,3.39758158
CCC(CC)C(C)C(C)C,275,3.2325038
CCC(CC)C(C)C(C)C,300,3.08339014
CCC(CC)C(C)C(C)C,325,2.94794044
CCC(CC)C(C)C(C)C,350,2.82429129
CCC(CC)C(C)C(C)C,375,2.71091418
CCC(CC)C(C)C(C)C,400,2.60654154
CCC(CC)C(C)C(C)C,425,2.51011182
CCC(CC)C(C)C(C)C,450,2.42072834
CCC(CC)C(C)C(C)C,475,2.33762774
CCC(CC)C(C)C(C)C,500,2.26015558
