smiles,Egc
[*]CCC(=O)OC(=O)CCc1ccc([*])s1,4.6241
[*]CCCCCCOC(=O)CCC(=O)O[*],6.7086
[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCC(C(C)(C)CC)CC2)cc1,2.8521
[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],4.7359
[*]C(F)(F)CC(F)(F)C(=S)[*],2.8419
[*]CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[*],5.6975
[*]c1cc(CC(=O)Cl)c([*])s1,2.8053
[*]C1C=C(C)C([*])C1,5.3361
[*]CCC(C)=C([*])C,4.9429
[*]OC1CCCCCC1[*],5.6512
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],4.5008
[*]Cc1ccc(COC(=O)c2cccc(C(=O)O[*])c2)cc1,4.5912
[*]c1ccc([*])n1CCC(=O)NO,2.8742
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],3.618
[*]c1ccc(-c2csc(-c3cccc(-c4nc([*])cs4)n3)n2)cc1,3.3649
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],2.2094
[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc([*])nc5cc4n3)cc2)cc1,2.8216
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],3.4269
[*]CCC(C=C1)=CC=C1C(=S)[*],2.742
[*]Oc1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)cc(C(=O)Nc3ccc([*])cc3)c2)cc1,3.2858
[*]OC1CCCCCCC1[*],5.2834
[*]C(S1)=CC=C1C(=S)OC(=S)[*],2.38
[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],3.6519
[*]CCCCOC(=O)CCCCCCCCC(=O)O[*],6.818
[*]CCCCCCCCCCOC(=O)CCCC(=O)O[*],6.7292
[*]c1nnc(C2CC3(CC([*])C3)C2)o1,6.0399
[*]c1ccc([*])n1C(=O)OCC,2.3493
[*]CCc1ccc(-c2ccc([*])cc2)cc1,4.2048
[*]c1ccc(-c2ccc(-c3cc(OCCCCCCCCCCCC)c([*])s3)s2)s1,1.9946
[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc([*])cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,4.0393
[*]C(=O)NCCCCCCCCNC(=O)c1cncc([*])c1,4.7551
[*]C=CCCCCCCCCCC(Cl)CCCCCCCCC[*],5.874
[*]COC(=O)O[*],8.0093
[*]CNC(=O)N[*],5.4697
[*]CC([*])c1cccc2c1OCO2,4.5452
[*]CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)c(C(=O)OCC=C)c2)cc1,3.1899
[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(N)nc(Nc4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)n3)c1)C2=O,2.4034
[*]CCOCO[*],6.6358
[*]Nc1cc(NC(=O)c2ccccc2C([*])=O)cc(-c2nnc(-c3ccccn3)o2)c1,3.5021
[*]CCCCCCOC(=O)OCCCCCCCCOC(=O)OCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,3.7768
[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,2.8156
[*]CCON[*],5.6784
[*]CC([*])(C)C(=O)OC(CC)OCC,6.3891
[*]CC([*])OCCCCC,5.9056
[*]CC([*])n1ccc2ccccc21,1.6204
[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc4ccccc4cc3Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,2.3398
[*]Nc1c(C)c(C)c(C(=O)c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)c(C)c1C,3.4801
[*]CCCCCCCCCCCC(=O)O[*],6.7916
[*]CCCCOC(=O)OCC1CCC(COC(=O)O[*])CC1,7.0222
[*]CCCCCCCCC([*])Cl,6.9974
[*]CCN([*])C(=O)c1c(F)cc(F)cc1F,4.6328
[*]CC1CCC(COC(=O)NCCSCCCCCSCCNC(=O)O[*])CC1,5.2578
[*]CC1CCC([*])C1,6.9613
[*]CC([*])C(=O)NCCc1ccccn1,4.133
[*]C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5ccc([*])cc5nc4-c4ccccc4)cc3)nc2c1,3.1886
[*]c1ccc(N(c2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,2.2981
[*]Oc1c(Cl)cc([*])cc1Cl,4.3426
[*]OC(C)COC(=O)CCCCCC([*])=O,6.6845
[*]CC(C)(CC)COC(=O)CCCCCCCCC(=O)O[*],6.7916
[*]Oc1ccc2cc(Oc3ccc(C(=O)c4ccc([*])cc4)cc3)ccc2c1,3.634
[*]C(F)(F)C([*])(F)c1ccccc1,5.6014
[*]OC(F)(F)C(F)(F)C(F)(F)C([*])(F)F,9.0549
[*]Cc1ccc(CNC(C)=N[*])cc1,4.9237
[*]CCCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1,4.6196
[*]NOC(=S)O[*],4.8496
[*]c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C([*])(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc1O)C2=O,2.7003
[*]Oc1ccc(N=Cc2ccc(N(c3ccccc3)c3ccc(C=Nc4ccc([*])cc4)cc3)cc2)cc1,2.7442
[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,6.0312
[*]CCCCCCCCCCc1nnc([*])n1N,5.6319
[*]NC(CC([*])=O)C(=O)OCC,5.9557
[*]CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O[*])cc1,4.734
[*]c1ccc(-c2ccc(-n3c(=O)c4c(F)c5c(=O)n([*])c(=O)c5c(F)c4c3=O)cc2C)c(C)c1,2.5202
[*]c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc5nc([*])cc(-c6ccccc6)c5cc4n3)cc2)cc1,2.7429
[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],2.2308
[*]C=Cc1cc(CCCCCC)c(-c2sc([*])cc2CCCCCC)s1,1.7165
[*]CCCCCCCCCCN(C)C(=O)CCCCCCCCC(=O)N([*])C,5.5704
[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,1.9644
[*]CNC(C=C1)=CC=C1C(=O)[*],3.6383
[*]CCCCCCCCCCCC(=O)N([*])C,5.8019
[*]c1nc2cc3sc(-c4cc(OCCCC)c([*])cc4OCCCC)nc3cc2s1,3.1607
[*]CCSSCCO[*],5.6114
C(=O)([*])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)O([*]),3.2146
[*]Oc1ccc(C(=O)OCCCOC(=O)c2ccc([*])cc2)cc1,4.6133
[*]CCCCCCNC(=O)CCCCCC(=O)N[*],5.936
[*]OC(CC)C([*])=O,6.3762
[*]CCCCNC(=O)CCCCCCCC(=O)NCCCCNC(=O)C(=O)N[*],5.3591
[*]CCCCCCCCCCCCCCC(=O)O[*],6.9774
[*]CCCCCCCCCCCCNC(=O)C(=O)N[*],5.7269
[*]C=CCC[*],5.2133
[*]Oc1c(F)c(F)c(On2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c(F)c1F,2.9459
[*]CCCCCCC(=O)NCCCCCCNC(=O)CCCCCCO[*],5.7692
[*]C(=O)c1ccc2c(c1)C(=Nc1ccc(Oc3cccc(N=C4OC(=O)c5ccc([*])cc54)c3)cc1)OC2=O,2.5722
[*]C(F)(F)CC(F)(F)N[*],7.1667
[*]C(C)=C(C)c1ccc(-c2ccc([*])s2)s1,2.1828
[*]CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,5.2905
[*]c1ccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)cc1,3.1145
[*]c1ccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,2.6364
[*]OC(=O)CCSCCSCCC([*])=O,4.6742
[*]CC([*])C(=O)NCO,6.0779
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],2.3241
[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3cccc(C(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c3)cc1)C2=O,2.9294
[*]OC1CCC(C2CCC(OC(=O)CCCCCCCCCCCC([*])=O)CC2)CC1,6.4758
[*]Oc1ccc(-c2ccc(N=Nc3ccc(C([*])=O)cc3)cc2)cc1,3.5627
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],3.475
[*]N=C(N=C(NC(C)=O)NC(C)=O)N=C([*])OC(C)=O,3.7327
[*]CCCCCCCCCCCCc1nc2cc3sc([*])nc3cc2s1,4.2887
[*]CCCCCC([*])C,7.1803
[*]NC(=O)NC(=S)[*],3.4559
[*]Oc1ccc(P(C)(=O)c2ccc([*])cc2)cc1,4.6884
[*]c1ccc(C(c2ccccc2)(c2ccc(-c3nc4ccc(-c5ccc6nc([*])oc6c5)cc4o3)cc2)C(F)(F)F)cc1,3.4178
[*]CCCCCCCCCCNC(=O)NCCCCCCNC(=O)N[*],5.6863
[*]CNCC(=O)[*],4.7515
[*]CC(=O)CC(S1)=CC=C1[*],4.4255
[*]CC([*])OC(=O)CC,6.5454
[*]CCC(c1ccccc1)C([*])c1ccccc1,5.4001
[*]C(=O)N([*])CC=C,5.5128
[*]C(=O)Oc1ccc(OC(=O)N2CCN([*])CC2)cc1,5.2692
[*]CCCCCCNC(=O)CCP(=O)(CCC(=O)N[*])c1ccccc1,4.8862
[*]CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N[*],5.9375
[*]c1cc(-c2ccc(CCCCCCCC)cc2)c([*])s1,2.6682
[*]CC([*])(C)C#N,7.6319
[*]c1sc([*])c2nc(CCCCCCCCCCC)c(CCCCCCCCCCC)nc12,0.4779
[*]c1ccc(C(C)(C)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.5724
[*]c1cc2sc3cc([*])sc3c2s1,1.8464
[*]C=CC1CC([*])C2CCCC12,5.6651
[*]NNC(=O)C([*])=O,5.5325
[*]CCCCCCOC(=O)CCCCCCCCC(=O)O[*],6.8548
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],2.0098
[*]CCCCCCCCCCOC(=O)c1cccc(C(=O)O[*])c1,5.173
[*]c1nc(Cl)nc(N([*])c2ccccc2)n1,4.3194
[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],5.992
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],2.5473
[*]Nc1ccc2c(c1)Cc1cc(NC(=O)c3cc(C(=O)O)c(C([*])=O)cc3C(=O)O)ccc1-2,2.6346
[*]CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],5.4741
